alg,k,test_acc,test_acc_pi,C_pi,C_unif,mean_test_acc,min_test_acc,max_test_acc,min_train_loss,max_train_loss,rho2_k,gamma_k,beta_k
RDSGD_ORACLE,71,0.8548051948051948,0.8548051948051948,0.0012777349912365442,0.0012777349912365444,0.8546406926406926,0.8527705627705627,0.8563203463203464,1.4153282219135277,1.6786734498328595,,,
RDSGD_ORACLE,72,0.854978354978355,0.854978354978355,0.0014549132148849733,0.001454913214884974,0.8550562770562771,0.8529437229437229,0.8564069264069264,1.412515544501463,1.6776882855353616,,,
RDSGD_ORACLE,73,0.8552813852813853,0.8552813852813853,0.001268630745364646,0.0012686307453646463,0.855024531024531,0.8532467532467533,0.8563203463203464,1.4146786141323775,1.6804264185332454,,,
RDSGD_ORACLE,74,0.855021645021645,0.855021645021645,0.0012942316848002392,0.0012942316848002396,0.8551832611832612,0.8535930735930736,0.8563636363636363,1.4149128289465607,1.685461654954935,,,
RDSGD_ORACLE,75,0.8552813852813853,0.8552813852813853,0.0011954939105135874,0.0011954939105135879,0.8554285714285714,0.8539393939393939,0.8570562770562771,1.4171668129332529,1.6797228205246413,,,
RDSGD_ORACLE,76,0.8553679653679653,0.8553679653679653,0.0011822035721237884,0.0011822035721237893,0.8555007215007214,0.854025974025974,0.8563636363636363,1.409992639769629,1.685290335627864,,,
RDSGD_ORACLE,77,0.8549350649350649,0.8549350649350649,0.0011193496661269877,0.0011193496661269884,0.8554978354978354,0.854025974025974,0.8570562770562771,1.4114330318848833,1.6850420704747888,,,
RDSGD_ORACLE,78,0.8554545454545455,0.8554545454545455,0.0013676385291014452,0.0013676385291014456,0.8555555555555556,0.8535497835497835,0.8567532467532467,1.4128817090792412,1.6789240893482265,,,
RDSGD_ORACLE,79,0.856017316017316,0.856017316017316,0.0011828647434133648,0.0011828647434133652,0.8557662337662337,0.8542857142857143,0.8568398268398268,1.4150783636530713,1.688144781049408,,,
RDSGD_ORACLE,80,0.8557142857142858,0.8557142857142858,0.0011129864162466572,0.0011129864162466576,0.8559018759018759,0.8548484848484849,0.8565800865800866,1.4147034775367118,1.6889722962128364,,,
RDSGD_ORACLE,81,0.8555411255411255,0.8555411255411255,0.0010508302552046799,0.0010508302552046803,0.8558672438672438,0.8541125541125542,0.8566233766233766,1.41492008492241,1.6810171741790787,,,
RDSGD_ORACLE,82,0.8557575757575757,0.8557575757575757,0.0010234583890731134,0.0010234583890731137,0.8556883116883116,0.8538095238095238,0.8563636363636363,1.4167656801376332,1.6846214794533119,,,
RDSGD_ORACLE,83,0.8555844155844156,0.8555844155844156,0.001119441732350888,0.001119441732350888,0.8555324675324675,0.853982683982684,0.8564069264069264,1.4156980034824682,1.6820957919096706,,,
RDSGD_ORACLE,84,0.8555844155844156,0.8555844155844156,0.0010432118486912404,0.0010432118486912408,0.8556450216450214,0.8546320346320346,0.8571861471861472,1.4133897987314679,1.6832624805238472,,,
RDSGD_ORACLE,85,0.8555411255411255,0.8555411255411255,0.0008930580747914761,0.0008930580747914762,0.8556940836940837,0.8546753246753247,0.8562770562770563,1.4168165222865716,1.6784177739832182,,,
RDSGD_ORACLE,86,0.8554978354978355,0.8554978354978355,0.0008711573282596975,0.0008711573282596978,0.8558528138528139,0.8548484848484849,0.8566666666666667,1.4170266924726342,1.679024729776027,,,
RDSGD_ORACLE,87,0.8558441558441559,0.8558441558441559,0.0009287533904380715,0.0009287533904380717,0.8559769119769118,0.8545021645021645,0.8569696969696969,1.4171341316403732,1.6758781287724158,,,
RDSGD_ORACLE,88,0.8557142857142858,0.8557142857142858,0.0009349276761517767,0.0009349276761517769,0.85607215007215,0.8548051948051948,0.8569696969696969,1.4174083508656627,1.6750060709383139,,,
RDSGD_ORACLE,89,0.8558874458874459,0.8558874458874459,0.0010111213564198583,0.0010111213564198587,0.8561240981240982,0.8546753246753247,0.8574891774891775,1.4161014870644386,1.6809546569097407,,,
RDSGD_ORACLE,90,0.856017316017316,0.856017316017316,0.0007563360431512623,0.0007563360431512624,0.8561587301587301,0.8546753246753247,0.8571861471861472,1.4169272164277946,1.6839069083696376,,,
RDSGD_ORACLE,91,0.8557142857142858,0.8557142857142858,0.0007303666266246632,0.0007303666266246634,0.8558470418470419,0.8548484848484849,0.8566666666666667,1.418224438905276,1.685668632285081,,,
RDSGD_ORACLE,92,0.8558441558441559,0.8558441558441559,0.0006832385133014936,0.0006832385133014938,0.8557229437229438,0.8544155844155844,0.8565367965367965,1.4169498853054878,1.6846641107645843,,,
RDSGD_ORACLE,93,0.8558441558441559,0.8558441558441559,0.000947102000058741,0.0009471020000587413,0.8556652236652237,0.8541558441558441,0.8571428571428571,1.4120557397462272,1.6835797377677388,,,
RDSGD_ORACLE,94,0.8559740259740259,0.8559740259740259,0.0009444677432332895,0.0009444677432332897,0.8558297258297258,0.8544155844155844,0.8567532467532467,1.4142107732792675,1.6823798511510908,,,
